from_organisation	to_organisation	relationship_type	from_key	to_key	from_in_master	verification_status	pdpa_risk	notes	sources
Afroplan Foundation	Maua English Medium School	partners_with	WORG_afroplan_foundation			needs_review	low	Sponsorship programme pays tuition at this Usa River private school (day or boarding).	"[{""url"": ""https://www.passionprojectsintl.com/sponsorship"", ""title"": ""Sponsorship – Passion Projects International"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""school used"", ""fees"", ""coverage"", ""contact""], ""evidence_excerpt"": ""Sponsorship pays Maua English Medium School, Usa River (nursery and Std 1–7, day or boarding) plus 5–10% for transfer and coordination costs.""}, {""url"": ""https://www.afroplanfoundation.com/sponsorship-program.html"", ""title"": ""Sponsorship Program – Afroplan Foundation (search snippet)"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": false, ""facts_supported"": [""school used""], ""evidence_excerpt"": ""Snippet: works with Maua English Medium School just outside Usa River; page did not render when fetched.""}]"
Selfless Solutions	Renea Pre and Primary School	partners_with	WORG_selfless_solutions	WORG_renea_pre_and_primary_school		verified	low	Graduates of Selfless Nursery School are enrolled at Renea (private primary) with sponsorship.	"[{""url"": ""https://selflesssolutions.org/get-involved/sponsor-a-child/"", ""title"": ""Sponsor a child – Selfless Solutions"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""programme"", ""location"", ""school used"", ""children"", ""cost"", ""registration"", ""email""], ""evidence_excerpt"": ""Sing'isi village children go from Selfless Nursery School to Renea, a private primary; 225+ students; $1–$3/day; 90/10 cost-sharing.""}]"
Inuka	CHETI NGO	funds	WORG_inuka	WORG_cheti		verified	low	CHETI is Inuka's partner on the ground; sponsorship funds CHETI network schools.	"[{""url"": ""https://www.inukacommunity.org/"", ""title"": ""Inuka (home)"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""mission"", ""partner"", ""impact"", ""ABN""], ""evidence_excerpt"": ""Partner CHETI NGO in Arusha; 8 schools supported, 1,567 students educated; ACNC registered, ABN 96 836 629 276.""}, {""url"": ""https://www.inukacommunity.org/cheti-ngo"", ""title"": ""CHETI NGO – Inuka"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""CHETI description""], ""evidence_excerpt"": ""CHETI (Children, Health, Education, Team Inspiration): Tanzanian NGO over 20 years old running a network of eight schools with boarding.""}]"
Heart for Africa	New Paradiso Orphanage	funds	WORG_heart_for_africa	WORG_new_paradiso_orphanage		needs_review	low	Supports the home and educational expenses of at least one young person.	"[{""url"": ""https://www.heartforafrica.co.uk/orphanages"", ""title"": ""Orphanages – Heart for Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""charity number"", ""supported homes"", ""education support"", ""address""], ""evidence_excerpt"": ""Supports New Paradiso Orphanage and Bethlehem Center for Children (about 20 children each) and GP-COSU; pays some school and college costs.""}]"
Heart for Africa	Bethlehem Center for Children	funds	WORG_heart_for_africa	WORG_bethlehem_centre_for_children		needs_review	low	Supports the centre and educational expenses of some young people.	"[{""url"": ""https://www.heartforafrica.co.uk/orphanages"", ""title"": ""Orphanages – Heart for Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""charity number"", ""supported homes"", ""education support"", ""address""], ""evidence_excerpt"": ""Supports New Paradiso Orphanage and Bethlehem Center for Children (about 20 children each) and GP-COSU; pays some school and college costs.""}]"
Heart for Africa	Green Path for Community Success (GP-COSU)	funds	WORG_heart_for_africa	WORG_green_path_for_community_success		needs_review	low	Sponsors two primary school children through GP-COSU.	"[{""url"": ""https://www.heartforafrica.co.uk/orphanages"", ""title"": ""Orphanages – Heart for Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""charity number"", ""supported homes"", ""education support"", ""address""], ""evidence_excerpt"": ""Supports New Paradiso Orphanage and Bethlehem Center for Children (about 20 children each) and GP-COSU; pays some school and college costs.""}]"
Friends of Amani USA	Amani Centre for Street Children	funds		WORG_amani_centre_for_street_children		verified	low	US 501(c)(3), EIN 27-3621599.	"[{""url"": ""https://www.amanikids.org/"", ""title"": ""Amani Centre for Street Children (home)"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""impact 2025"", ""registration"", ""foreign registrations"", ""email""], ""evidence_excerpt"": ""2025: 338 rescues, 260+ reintegrations a year, 350+ children with continued education support; Tanzania charity No. 00NG0/RI/00266.""}, {""url"": ""https://www.amanikids.org/contact-us"", ""title"": ""Contact Us – Amanikids"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""friends organisations""], ""evidence_excerpt"": ""Amani Centre: PO Box 6515 Moshi; +(255) 752 220 637; info@amanikids.org; Friends of Amani in USA, UK, Netherlands, Germany, Canada.""}]"
Friends of Amani UK	Amani Centre for Street Children	funds	WORG_friends_of_amani_uk	WORG_amani_centre_for_street_children		verified	low	UK registered charity 1107618.	"[{""url"": ""https://www.amanikids.org/"", ""title"": ""Amani Centre for Street Children (home)"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""impact 2025"", ""registration"", ""foreign registrations"", ""email""], ""evidence_excerpt"": ""2025: 338 rescues, 260+ reintegrations a year, 350+ children with continued education support; Tanzania charity No. 00NG0/RI/00266.""}, {""url"": ""https://www.amanikids.org/contact-us"", ""title"": ""Contact Us – Amanikids"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""friends organisations""], ""evidence_excerpt"": ""Amani Centre: PO Box 6515 Moshi; +(255) 752 220 637; info@amanikids.org; Friends of Amani in USA, UK, Netherlands, Germany, Canada.""}]"
Vrienden van Amani Nederland	Amani Centre for Street Children	funds	WORG_vrienden_van_amani_nederland	WORG_amani_centre_for_street_children		verified	low	Dutch ANBI, RSIN 856833691.	"[{""url"": ""https://www.amanikids.org/"", ""title"": ""Amani Centre for Street Children (home)"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""impact 2025"", ""registration"", ""foreign registrations"", ""email""], ""evidence_excerpt"": ""2025: 338 rescues, 260+ reintegrations a year, 350+ children with continued education support; Tanzania charity No. 00NG0/RI/00266.""}, {""url"": ""https://www.amanikids.org/contact-us"", ""title"": ""Contact Us – Amanikids"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""friends organisations""], ""evidence_excerpt"": ""Amani Centre: PO Box 6515 Moshi; +(255) 752 220 637; info@amanikids.org; Friends of Amani in USA, UK, Netherlands, Germany, Canada.""}]"
Freunde von Amani Deutschland	Amani Centre for Street Children	funds		WORG_amani_centre_for_street_children		needs_review	low	Listed on Amanikids contact page; registration not shown.	"[{""url"": ""https://www.amanikids.org/contact-us"", ""title"": ""Contact Us – Amanikids"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""friends organisations""], ""evidence_excerpt"": ""Amani Centre: PO Box 6515 Moshi; +(255) 752 220 637; info@amanikids.org; Friends of Amani in USA, UK, Netherlands, Germany, Canada.""}]"
Friends of Amani Canada	Amani Centre for Street Children	funds		WORG_amani_centre_for_street_children		needs_review	low	Listed on Amanikids contact page; registration not shown.	"[{""url"": ""https://www.amanikids.org/contact-us"", ""title"": ""Contact Us – Amanikids"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""friends organisations""], ""evidence_excerpt"": ""Amani Centre: PO Box 6515 Moshi; +(255) 752 220 637; info@amanikids.org; Friends of Amani in USA, UK, Netherlands, Germany, Canada.""}]"
Compassion International, Inc.	Compassion International Tanzania	operates	WORG_compassion_international	WORG_compassion_international		verified	low	Tanzania country office of Compassion International; 604 church partners.	"[{""url"": ""https://cit.or.tz/who-we-are/"", ""title"": ""Who We Are – Compassion International Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""registration"", ""scale"", ""church partnership model"", ""operator""], ""evidence_excerpt"": ""FBO registered under Societies Act Cap. 337, No. S.A. 9692; 600+ child and youth development centres; 125,000+ children; church-partnered.""}, {""url"": ""https://www.compassion.com/about-us/where-we-work/tanzania-facts/"", ""title"": ""Tanzania Facts – Compassion International"", ""source_date"": ""2026-09-16"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""children served"", ""church partners"", ""founded""], ""evidence_excerpt"": ""Data as of 16 Sep 2026: 125,551 children served with 604 church partners; programme running 27 years.""}]"
Tanzania School Foundation, Inc.	Father Christmas Academy (School of St. Nicholas)	operates	WORG_school_foundation	WORG_school_foundation		needs_review	low	Founded and managed the academy; closure after 2022 reported in a snippet but not confirmed.	"[{""url"": ""https://www.tanzaniaschoolfoundation.org/"", ""title"": ""Tanzania School Foundation (home)"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""programmes"", ""location"", ""children"", ""contact"", ""latest activity""], ""evidence_excerpt"": ""Programmes: school meals, Sponsor a Child, artisan support, Father Christmas Academy in Mlangarini, 30 km outside Arusha; 2,216 children served.""}, {""url"": ""https://patch.com/massachusetts/stoughton/tanzania-school-foundation-update"", ""title"": ""Tanzania School Foundation update – Patch"", ""source_date"": ""2013-11-11"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""history"", ""school""], ""evidence_excerpt"": ""2013: operating the School of St. Nicholas for disadvantaged children in Olosiva village; 12 students.""}, {""url"": ""https://fatherchristmasacademy.org/"", ""title"": ""Home – Father Christmas Academy (search snippet)"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": false, ""facts_supported"": [""school status""], ""evidence_excerpt"": ""Snippet: board voted to close Father Christmas Academy after the 2022 academic year; domain no longer resolves.""}]"
Child Foundation (Netherlands)	KIWAKKUKI (Kikundi cha Wanawake Kilimanjaro Kupambana na UKIMWI)	funds		WORG_kiwakkuki		needs_review	low	Named as partner since 1996; current status unknown.	"[{""url"": ""https://www.kiwakkuki.org/page?page=vulnerable_children_support"", ""title"": ""Vulnerable Children Support – KIWAKKUKI"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""OVC services"", ""school sponsorship"", ""partners"", ""coverage""], ""evidence_excerpt"": ""School sponsorships at primary, secondary and vocational levels; uniforms, shoes, textbooks, lunches; supporting vulnerable children since 1996 across 8 districts.""}]"
World Food Programme	KIWAKKUKI (Kikundi cha Wanawake Kilimanjaro Kupambana na UKIMWI)	partners_with		WORG_kiwakkuki		needs_review	low	Nutrition support for the vulnerable-children programme; undated.	"[{""url"": ""https://www.kiwakkuki.org/page?page=vulnerable_children_support"", ""title"": ""Vulnerable Children Support – KIWAKKUKI"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""OVC services"", ""school sponsorship"", ""partners"", ""coverage""], ""evidence_excerpt"": ""School sponsorships at primary, secondary and vocational levels; uniforms, shoes, textbooks, lunches; supporting vulnerable children since 1996 across 8 districts.""}]"
The Foundation For Tomorrow	Usa River Academy	partners_with	WORG_foundation_for_tomorrow			needs_review	low	TFFT scholars attend Usa River Academy (secondary); one of 21 partner schools.	"[{""url"": ""https://thefoundationfortomorrow.org/impact/"", ""title"": ""Impact – The Foundation For Tomorrow"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""children"", ""partner schools"", ""location""], ""evidence_excerpt"": ""94 current scholars, 75 alumni, 21 partner schools; work in Arusha region including Usa River; Usa River Academy mentioned.""}]"
Ummu Aisha Orphanage Centre	The Wanderlust Women	partners_with	WORG_ummu_aisha_orphanage_centre			verified	low	Listed as a partner on the centre's website.	"[{""url"": ""https://www.ummuaishaorphanage.org/"", ""title"": ""Ummu Aisha Orphanage Center – Licence No. 06422"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""licence"", ""address"", ""founded"", ""children"", ""school fees"", ""contacts"", ""partners""], ""evidence_excerpt"": ""Licence 06422 (2025–2030); founded 2006; 39 girls resident, 25 boys supported in community; pays school fees primary to tertiary.""}]"
Ummu Aisha Orphanage Centre	Galaxy Computers Ltd	partners_with	WORG_ummu_aisha_orphanage_centre			verified	low	Listed as a partner on the centre's website.	"[{""url"": ""https://www.ummuaishaorphanage.org/"", ""title"": ""Ummu Aisha Orphanage Center – Licence No. 06422"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""licence"", ""address"", ""founded"", ""children"", ""school fees"", ""contacts"", ""partners""], ""evidence_excerpt"": ""Licence 06422 (2025–2030); founded 2006; 39 girls resident, 25 boys supported in community; pays school fees primary to tertiary.""}]"
Reach for Change	Espero Foundation	funds		WORG_espero_foundation		historical	low	Support noted in a 2013 listing.	"[{""url"": ""https://www.idealist.org/en/nonprofit/ea7a17b8a4c94a38a9c50640b63124fc-espero-foundation-arusha"", ""title"": ""Espero Foundation – Idealist"", ""source_date"": ""2013-05"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""location"", ""programmes"", ""partner"", ""website""], ""evidence_excerpt"": ""Arusha, Dodoma road; non-formal education for out-of-school children aged 9–18 and transition to formal school; supported by Reach for Change; joined 2013.""}]"
Just Us Friends Inc.	Good Hope Orphanage, School & Clinic	partners_with		WORG_good_hope_orphanage_school_and_clinic		historical	low	Clinic established in 2011 in partnership (2012 listing).	"[{""url"": ""https://www.idealist.org/en/nonprofit/b2f6928da7dc489790ef956c0d2778d2-good-hope-orphanage-school-clinic-arusha"", ""title"": ""Good Hope Orphanage, School & Clinic – Idealist"", ""source_date"": ""2012-10"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""programmes"", ""children"", ""partner"", ""website""], ""evidence_excerpt"": ""Arusha orphanage for about 16 children, six-classroom school for about 170 pupils with tuition help for low-income families, clinic since 2011.""}]"
SOS Children's Villages International	SOS Children's Village Arusha	operates		WORG_sos_children_village_arusha		verified	low	Part of the SOS federation; in Arusha since 2000.	"[{""url"": ""https://www.sos-childrensvillages.org/where-we-help/africa/tanzania/arusha"", ""title"": ""SOS Children's Village Arusha – SOS Children's Villages International"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""services"", ""numbers""], ""evidence_excerpt"": ""Since 2000 in Arusha: 220 adults and children supported in community, 130 in residential care, 10 young people in independence support.""}]"
Stichting Sibusiso (Netherlands)	Sibusiso Foundation	funds		WORG_sibusiso_foundation		verified	low	Dutch foundation raises funds and oversees the Arusha centre; its director sits on the Arusha board.	"[{""url"": ""https://static.cbf.nl/documents/Sibusiso/2024/jaarverslag.pdf"", ""title"": ""Stichting Sibusiso Jaarverslaggeving 2024"", ""source_date"": ""2025-06"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""registration"", ""location"", ""funding"", ""income"", ""staff_count"", ""leadership"", ""latest_activity""], ""evidence_excerpt"": ""Annual report: founded 2000; KvK 22046082; centre near Tengeru teachers' college and hospital; 50+ staff; 2024 income EUR 353,724.""}, {""url"": ""https://cbf.nl/organisaties/sibusiso"", ""title"": ""Sibusiso | CBF"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""registration"", ""income"", ""mission""], ""evidence_excerpt"": ""Dutch charity regulator lists Sibusiso as recognised; 2024 income EUR 353,724; works on special education and family guidance in Tanzania.""}]"
Rijk Zwaan	Sibusiso Foundation	funds		WORG_sibusiso_foundation		verified	low	Thanked as sponsor of 2024 videos.	"[{""url"": ""https://static.cbf.nl/documents/Sibusiso/2024/jaarverslag.pdf"", ""title"": ""Stichting Sibusiso Jaarverslaggeving 2024"", ""source_date"": ""2025-06"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""registration"", ""location"", ""funding"", ""income"", ""staff_count"", ""leadership"", ""latest_activity""], ""evidence_excerpt"": ""Annual report: founded 2000; KvK 22046082; centre near Tengeru teachers' college and hospital; 50+ staff; 2024 income EUR 353,724.""}]"
NOBS	Sibusiso Foundation	funds		WORG_sibusiso_foundation		verified	low	Thanked as sponsor of 2024 videos.	"[{""url"": ""https://static.cbf.nl/documents/Sibusiso/2024/jaarverslag.pdf"", ""title"": ""Stichting Sibusiso Jaarverslaggeving 2024"", ""source_date"": ""2025-06"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""registration"", ""location"", ""funding"", ""income"", ""staff_count"", ""leadership"", ""latest_activity""], ""evidence_excerpt"": ""Annual report: founded 2000; KvK 22046082; centre near Tengeru teachers' college and hospital; 50+ staff; 2024 income EUR 353,724.""}]"
ELCT Meru Diocese	Usa River Rehabilitation and Training Centre	operates		WORG_usa_river_rehabilitation_and_training_centre		verified	low		"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/das-urrc/"", ""title"": ""URRC - Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""operator"", ""age_range"", ""capacity"", ""services"", ""partners""], ""evidence_excerpt"": ""Opened 1988 under ELCT Meru Diocese; takes disabled young people aged 16-25; 70 boarding and education places; three-year apprenticeships.""}]"
Förderverein URRC e.V.	Usa River Rehabilitation and Training Centre	funds	WORG_foerderverein_urrc	WORG_usa_river_rehabilitation_and_training_centre		verified	low	German support association, Bad Kissingen.	"[{""url"": ""https://www.urrc.de/"", ""title"": ""Förderverein URRC e.V."", ""source_date"": ""2026-07"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder"", ""latest_activity"", ""support_association_contact""], ""evidence_excerpt"": ""German support association in Bad Kissingen backs the centre; July 2026 news on a new physiotherapy therapy bed.""}, {""url"": ""https://www.rehabilitation-center-tanzania.org/en/kontakt/"", ""title"": ""Contact | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""email"", ""phone"", ""head"", ""support_association""], ""evidence_excerpt"": ""Contact page names the Head, P.O. Box 47 Usa River, info@urrc.org, +255 752 796205 and landline 027 255 3427.""}]"
Mission EineWelt	Usa River Rehabilitation and Training Centre	funds		WORG_usa_river_rehabilitation_and_training_centre		verified	low	Holds the donation account for the centre; listed as partner.	"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/kontakt/"", ""title"": ""Contact | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""email"", ""phone"", ""head"", ""support_association""], ""evidence_excerpt"": ""Contact page names the Head, P.O. Box 47 Usa River, info@urrc.org, +255 752 796205 and landline 027 255 3427.""}, {""url"": ""https://www.rehabilitation-center-tanzania.org/"", ""title"": ""Homepage | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""partners"", ""phone"", ""social_media""], ""evidence_excerpt"": ""Homepage lists ELCT, Mission EineWelt, Leipziger Missionswerk, Rummelsberg and Förderverein URRC; phone +255 27 255 34 27.""}]"
Leipziger Missionswerk	Usa River Rehabilitation and Training Centre	partners_with		WORG_usa_river_rehabilitation_and_training_centre		verified	low		"[{""url"": ""https://www.rehabilitation-center-tanzania.org/"", ""title"": ""Homepage | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""partners"", ""phone"", ""social_media""], ""evidence_excerpt"": ""Homepage lists ELCT, Mission EineWelt, Leipziger Missionswerk, Rummelsberg and Förderverein URRC; phone +255 27 255 34 27.""}]"
Rummelsberg (rummelsberger.de)	Usa River Rehabilitation and Training Centre	partners_with		WORG_usa_river_rehabilitation_and_training_centre		verified	low	Listed as 'Rummelsberg' among partner links.	"[{""url"": ""https://www.rehabilitation-center-tanzania.org/"", ""title"": ""Homepage | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""partners"", ""phone"", ""social_media""], ""evidence_excerpt"": ""Homepage lists ELCT, Mission EineWelt, Leipziger Missionswerk, Rummelsberg and Förderverein URRC; phone +255 27 255 34 27.""}]"
Aktion Feuerkinder Tansania	Usa River Rehabilitation and Training Centre	partners_with		WORG_usa_river_rehabilitation_and_training_centre		verified	low	Organises orthopaedic operations for disabled children with Nkoaranga Lutheran Hospital.	"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/das-urrc/"", ""title"": ""URRC - Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""operator"", ""age_range"", ""capacity"", ""services"", ""partners""], ""evidence_excerpt"": ""Opened 1988 under ELCT Meru Diocese; takes disabled young people aged 16-25; 70 boarding and education places; three-year apprenticeships.""}, {""url"": ""http://www.feuerkinder.de/"", ""title"": ""Aktion Feuerkinder Tansania"", ""source_date"": ""2025-08-22"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""partner"", ""latest_activity""], ""evidence_excerpt"": ""Nuremberg-based medical aid group; 43rd surgical mission in Tanzania ended August 2025 with 123 operations.""}]"
Nkoaranga Lutheran Hospital	Usa River Rehabilitation and Training Centre	partners_with		WORG_usa_river_rehabilitation_and_training_centre		verified	low	Orthopaedic operations for disabled children.	"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/das-urrc/"", ""title"": ""URRC - Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""operator"", ""age_range"", ""capacity"", ""services"", ""partners""], ""evidence_excerpt"": ""Opened 1988 under ELCT Meru Diocese; takes disabled young people aged 16-25; 70 boarding and education places; three-year apprenticeships.""}]"
Kafika House Inc (Friends of Kafika House)	Kafika House	funds	WORG_kafika_house	WORG_kafika_house		verified	low	US 501(c)(3), San Francisco; formerly Friends of the Plaster House Inc.	"[{""url"": ""https://projects.propublica.org/nonprofits/organizations/851816030"", ""title"": ""Kafika House Inc - ProPublica Nonprofit Explorer"", ""source_date"": ""2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""foreign_charity"", ""income""], ""evidence_excerpt"": ""Kafika House Inc (DBA Friends of Kafika House), San Francisco, EIN 85-1816030; 2024 Form 990 revenue $933,480.""}, {""url"": ""https://www.theplasterhouse.org/contact-us"", ""title"": ""Contact Us - The Plaster House"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""social_media"", ""foreign_charity""], ""evidence_excerpt"": ""Legacy contact page: P.O. Box 937 Arusha; US arm Friends of the Plaster House Inc., EIN 85-1816030.""}]"
Pflaster für Tansania	Kafika House	funds		WORG_kafika_house		verified	low	German association founded 2021.	"[{""url"": ""https://www.pflasterfuertansania.com/en/kafikahouse"", ""title"": ""Kafika House | Pflaster für Tansania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""locations"", ""education"", ""funder"", ""length_of_stay""], ""evidence_excerpt"": ""German supporter: houses in Arusha, Karatu (2023) and Moshi (2024) take over 1,000 children yearly; stays 3-6 months with education.""}]"
African Mission Healthcare	Kafika House	funds		WORG_kafika_house		needs_review	low	Grants since 2010 per legacy partners page (c. 2019-2020); current status unconfirmed.	"[{""url"": ""https://www.theplasterhouse.org/about-us-our-partners"", ""title"": ""Our Partners - The Plaster House"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders"", ""partners""], ""evidence_excerpt"": ""Legacy partners page: AMH grants since 2010, Watsi since 2012, Smile Train, Impact UK, Tencent Foundation, MiracleFeet, AVI.""}, {""url"": ""https://africanmissionhealthcare.org/the-plaster-house/"", ""title"": ""The Plaster House | African Mission Healthcare"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""capacity"", ""staff_count"", ""funder""], ""evidence_excerpt"": ""AMH page: 80 beds, capacity for over 100 patients at a time, 45 staff; never turns a child away.""}]"
Watsi	Kafika House	funds		WORG_kafika_house		needs_review	low	Crowdfunds individual surgeries since 2012 per legacy page.	"[{""url"": ""https://www.theplasterhouse.org/about-us-our-partners"", ""title"": ""Our Partners - The Plaster House"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders"", ""partners""], ""evidence_excerpt"": ""Legacy partners page: AMH grants since 2010, Watsi since 2012, Smile Train, Impact UK, Tencent Foundation, MiracleFeet, AVI.""}]"
Smile Train	Kafika House	funds		WORG_kafika_house		needs_review	low	Cleft surgeries, per legacy page.	"[{""url"": ""https://www.theplasterhouse.org/about-us-our-partners"", ""title"": ""Our Partners - The Plaster House"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders"", ""partners""], ""evidence_excerpt"": ""Legacy partners page: AMH grants since 2010, Watsi since 2012, Smile Train, Impact UK, Tencent Foundation, MiracleFeet, AVI.""}]"
