record_key	level	name	council	region	admin_district	core_council	population_2022	male_2022	female_2022	households_2022	avg_household_size_2022	census_source_location	lat	lon	geocode_precision	location_source	location_ref	location_note	campus	distance_km	transport_band	nearest_primary_campus	distance_to_primary_km	primary_band	campus_cluster	in_catchment	ward_score	ward_tier	rank_in_cluster	factors_known	score_factors
AU_ward_meru-district-council_nkoanrua	ward	Nkoanrua	Meru District Council	Arusha	Arumeru	True	8679	4297	4382	2446	3.5	Table 2.2, PDF page 57 (printed page 31), row 16	-3.35	36.76666667	estimated	wikipedia	Nkoanrua	Wikipedia ward point, corroborated by the OpenStreetMap place 'Ndoombo Nkoarisambu, Nkoanrua', listed under 'Nkoanrua' 2.0 km away.	Kijenge	7.3	6-10 km	Usa River	10.8	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	23.3	P3	45	2 of 5	"{""population_2022_relative"": 5.8, ""transport_band"": 17.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_songoro	ward	Songoro	Meru District Council	Arusha	Arumeru	True	10813	5462	5351	2849	3.8	Table 2.2, PDF page 57 (printed page 31), row 17	-3.3256	36.8283	estimated	wikipedia	Songoro, Meru	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Usa River	5.8	6-10 km	Usa River	5.8	6-10 km	Usa River	yes	30.8	P2	9	2 of 5	"{""population_2022_relative"": 10.8, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_nkoarisambu	ward	Nkoarisambu	Meru District Council	Arusha	Arumeru	True	6892	3328	3564	1944	3.5	Table 2.2, PDF page 57 (printed page 31), row 18	-3.3370905	36.7777156	estimated	osm_facility	way/666172884	Reviewed override (links.json): Agent decision 23 September 2026, for review: 'Nkoarisambu Dispensary' (OpenStreetMap way/666172884, data/raw/government-research/osm_named_facilities_2026-09-23.json) lies inside the Meru district boundary, and no other council has a ward named Nkoarisambu. No place node, ward office or Wikipedia article gives the ward a point.	Kijenge	9.1	6-10 km	Usa River	10.0	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	22.9	P3	46	2 of 5	"{""population_2022_relative"": 2.9, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_nkoanekoli	ward	Nkoanekoli	Meru District Council	Arusha	Arumeru	True	4623	2294	2329	1295	3.6	Table 2.2, PDF page 57 (printed page 31), row 19	-3.3398742	36.8517695	estimated	osm_place	node/7815949023	OpenStreetMap neighbourhood 'Nkoanekoli'; no Wikipedia ward point.	Usa River	3.0	0-5 km	Usa River	3.0	0-5 km	Usa River	yes	26.3	P3	10	2 of 5	"{""population_2022_relative"": 1.3, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_ambureni	ward	Ambureni	Meru District Council	Arusha	Arumeru	True	16971	7859	9112	4944	3.4	Table 2.2, PDF page 57 (printed page 31), row 20				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_meru-district-council_maroroni	ward	Maroroni	Meru District Council	Arusha	Arumeru	True	16113	8114	7999	4162	3.9	Table 2.2, PDF page 57 (printed page 31), row 21	-3.4375087	36.9120128	estimated	osm_place	node/846797787	OpenStreetMap neighbourhood 'Maroroni, Maroroni'; no Wikipedia ward point.	Usa River	9.8	6-10 km	Usa River	9.8	6-10 km	Usa River	yes	40.3	P1	5	2 of 5	"{""population_2022_relative"": 20.3, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_makiba	ward	Makiba	Meru District Council	Arusha	Arumeru	True	10294	5012	5282	2684	3.8	Table 2.2, PDF page 57 (printed page 31), row 22	-3.5130284	36.9423463	address	osm_ward_office	node/9392133492	The ward office as mapped in OpenStreetMap ('Makiba Ward Building'; office name matches the ward inside the council's district).	Usa River	18.7	16-20 km	Usa River	18.7	16-20 km	Usa River	yes	20.0	P3	14	2 of 5	"{""population_2022_relative"": 10.0, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_mbuguni	ward	Mbuguni	Meru District Council	Arusha	Arumeru	True	10026	5041	4985	2665	3.8	Table 2.2, PDF page 57 (printed page 31), row 23	-3.56666667	36.95	estimated	wikipedia	Mbuguni	Wikipedia ward point, corroborated by the OpenStreetMap village 'Mbuguni' 4.1 km away.	Usa River	24.5	21-25 km	Usa River	24.5	21-25 km	Usa River	yes	13.9	P4	17	2 of 5	"{""population_2022_relative"": 8.9, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_kikwe	ward	Kikwe	Meru District Council	Arusha	Arumeru	True	10965	5689	5276	3030	3.6	Table 2.2, PDF page 57 (printed page 31), row 24	-3.483384	36.877657	estimated	osm_places_listed_under_ward_name	node/846797430; node/846798756; node/7815949042	Centre of 3 OpenStreetMap places listed under 'Kikwe' (spread 5.8 km); no Wikipedia ward point.	Usa River	13.3	11-15 km	Usa River	13.3	11-15 km	Usa River	yes	26.1	P3	11	2 of 5	"{""population_2022_relative"": 11.1, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_majengo	ward	Majengo	Meru District Council	Arusha	Arumeru	True	6570	3195	3375	1536	4.3	Table 2.2, PDF page 57 (printed page 31), row 25				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_meru-district-council_shambarai-burka	ward	Shambarai Burka	Meru District Council	Arusha	Arumeru	True	7031	3474	3557	1881	3.7	Table 2.2, PDF page 57 (printed page 31), row 26	-3.5666559	36.8992687	estimated	osm_place	node/7815949040	OpenStreetMap hamlet 'Shambarai Burka, Mbuguni'; no Wikipedia ward point.	Usa River	22.8	21-25 km	Usa River	22.8	21-25 km	Usa River	yes	8.2	P4	18	2 of 5	"{""population_2022_relative"": 3.2, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_monduli-district-council_monduli-juu	ward	Monduli Juu	Monduli District Council	Arusha	Monduli	False	15051	6863	8188	3234	4.7	Table 2.1, PDF page 56 (printed page 30), row 1	-3.2991222	36.445283	estimated	wikipedia	Monduli Juu, Monduli District	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	24.7	21-25 km	Arusha City	24.7	21-25 km	Arusha (Sakina, Kijenge, Ilboru)	yes	24.2	P3	44	2 of 5	"{""population_2022_relative"": 19.2, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_monduli-district-council_engutoto	ward	Engutoto	Monduli District Council	Arusha	Monduli	False	9643	4468	5175	2336	4.1	Table 2.1, PDF page 56 (printed page 30), row 2	-3.3128	36.4485	estimated	wikipedia	Engutoto, Monduli	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	24.0	21-25 km	Arusha City	24.0	21-25 km	Arusha (Sakina, Kijenge, Ilboru)	yes	12.9	P4	50	2 of 5	"{""population_2022_relative"": 7.9, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_monduli-district-council_monduli-mjini	ward	Monduli Mjini	Monduli District Council	Arusha	Monduli	False	7608	3678	3930	2410	3.2	Table 2.1, PDF page 56 (printed page 30), row 3	-3.3029	36.4454	estimated	wikipedia	Monduli Mjini, Monduli District	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	24.6	21-25 km	Arusha City	24.6	21-25 km	Arusha (Sakina, Kijenge, Ilboru)	yes	9.5	P4	52	2 of 5	"{""population_2022_relative"": 4.5, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_monduli-district-council_moita	ward	Moita	Monduli District Council	Arusha	Monduli	False	14666	6661	8005	3146	4.7	Table 2.1, PDF page 56 (printed page 30), row 4	-3.4864407	36.5650896	estimated	wikipedia	Moita (Tanzanian ward)	Wikipedia ward point; the weaker OpenStreetMap hamlet 'Moita, Moita' is 14.4 km away (see Review Queue).	Arusha City	18.3	16-20 km	Arusha City	18.3	16-20 km	Arusha (Sakina, Kijenge, Ilboru)	yes	28.4	P3	39	2 of 5	"{""population_2022_relative"": 18.4, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_monduli-district-council_sepeko	ward	Sepeko	Monduli District Council	Arusha	Monduli	False	13633	6205	7428	2911	4.7	Table 2.1, PDF page 56 (printed page 30), row 5	-3.3916905	36.328802	estimated	wikipedia	Sepeko	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	37.2	>25 km (outside catchment)	Arusha City	37.2	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_lolkisale	ward	Lolkisale	Monduli District Council	Arusha	Monduli	False	9466	4665	4801	2190	4.3	Table 2.1, PDF page 56 (printed page 30), row 6	-3.76666667	36.41666667	estimated	wikipedia	Lolkisale	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	53.4	>25 km (outside catchment)	Arusha City	53.4	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_lepurko	ward	Lepurko	Monduli District Council	Arusha	Monduli	False	12988	5694	7294	3009	4.3	Table 2.1, PDF page 56 (printed page 30), row 7	-3.4118	36.2171	estimated	wikipedia	Lepurko	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	49.7	>25 km (outside catchment)	Arusha City	49.7	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_meserani	ward	Meserani	Monduli District Council	Arusha	Monduli	False	10771	4670	6101	2685	4.0	Table 2.1, PDF page 56 (printed page 30), row 8	-3.4098	36.4857	estimated	wikipedia	Meserani, Monduli	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	20.5	21-25 km	Arusha City	20.5	21-25 km	Arusha (Sakina, Kijenge, Ilboru)	yes	15.5	P4	49	2 of 5	"{""population_2022_relative"": 10.5, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_monduli-district-council_mfereji	ward	Mfereji	Monduli District Council	Arusha	Monduli	False	8221	3629	4592	1997	4.1	Table 2.1, PDF page 56 (printed page 30), row 9	-3.123992	36.4672011	estimated	osm_place	node/8038398155	OpenStreetMap village 'Mfereji'; no Wikipedia ward point.	Arusha City	33.3	>25 km (outside catchment)	Arusha City	33.3	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_lashaine	ward	Lashaine	Monduli District Council	Arusha	Monduli	False	5132	2298	2834	1104	4.6	Table 2.1, PDF page 56 (printed page 30), row 10				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_monduli-district-council_naalarami	ward	Naalarami	Monduli District Council	Arusha	Monduli	False	4550	2057	2493	1020	4.5	Table 2.1, PDF page 56 (printed page 30), row 11				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_monduli-district-council_lemooti	ward	Lemooti	Monduli District Council	Arusha	Monduli	False	7474	3776	3698	1582	4.7	Table 2.1, PDF page 56 (printed page 30), row 12				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_monduli-district-council_makuyuni	ward	Makuyuni	Monduli District Council	Arusha	Monduli	False	14803	6955	7848	3555	4.2	Table 2.1, PDF page 56 (printed page 30), row 13	-3.546553	36.1045503	estimated	wikipedia	Makuyuni, Monduli	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	65.4	>25 km (outside catchment)	Arusha City	65.4	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_esilalei	ward	Esilalei	Monduli District Council	Arusha	Monduli	False	29020	13021	15999	7392	3.9	Table 2.1, PDF page 56 (printed page 30), row 14	-3.48672	35.9342	estimated	wikipedia	Esilalei	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	82.1	>25 km (outside catchment)	Arusha City	82.1	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_mswakini	ward	Mswakini	Monduli District Council	Arusha	Monduli	False	7803	3626	4177	1636	4.8	Table 2.1, PDF page 56 (printed page 30), row 15				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_monduli-district-council_engaruka	ward	Engaruka	Monduli District Council	Arusha	Monduli	False	17187	7608	9579	4016	4.3	Table 2.1, PDF page 56 (printed page 30), row 16	-2.98333333	35.95	estimated	wikipedia	Engaruka, Monduli	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	89.0	>25 km (outside catchment)	Arusha City	89.0	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_selela	ward	Selela	Monduli District Council	Arusha	Monduli	False	14275	6474	7801	3307	4.3	Table 2.1, PDF page 56 (printed page 30), row 17	-3.205	35.944	estimated	wikipedia	Selela	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	81.3	>25 km (outside catchment)	Arusha City	81.3	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_mto-wa-mbu	ward	Mto wa Mbu	Monduli District Council	Arusha	Monduli	False	7995	3885	4110	2480	3.2	Table 2.1, PDF page 56 (printed page 30), row 18	-3.35	35.85	estimated	wikipedia	Mto wa Mbu	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	90.1	>25 km (outside catchment)	Arusha City	90.1	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_monduli-district-council_majengo	ward	Majengo	Monduli District Council	Arusha	Monduli	False	9568	4756	4812	2766	3.5	Table 2.1, PDF page 56 (printed page 30), row 19				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_monduli-district-council_migungani	ward	Migungani	Monduli District Council	Arusha	Monduli	False	7731	3753	3978	2277	3.4	Table 2.1, PDF page 56 (printed page 30), row 20				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_moshi-district-council_kindi	ward	Kindi	Moshi District Council	Kilimanjaro	Moshi	False	34045	16413	17632	8721	3.9	Table 3.5, PDF page 69 (printed page 43), row 1	-3.2830093	37.2783842	estimated	osm_place	node/8019687301	Reviewed override (links.json): Agent decision 23 September 2026, for review: keeps the OpenStreetMap village 'Kindi'. 'Kindi Dispensary' (way/681492564, data/raw/government-research/osm_named_facilities_2026-09-23.json) lies 1.0 km from it, while the Wikipedia point is 13.5 km away.	Boma Ngombe	16.6	16-20 km	Usa River	47.0	>25 km (outside catchment)	Boma Ng'ombe	yes	33.9	P2	2	2 of 5	"{""population_2022_relative"": 28.9, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_moshi-district-council_kibosho-magharibi	ward	Kibosho Magharibi	Moshi District Council	Kilimanjaro	Moshi	False	19129	9161	9968	5049	3.8	Table 3.5, PDF page 69 (printed page 43), row 2	-3.2509211	37.316152	estimated	wikipedia	Kibosho Magharibi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	21.8	21-25 km	Usa River	51.8	>25 km (outside catchment)	Boma Ng'ombe	yes	26.2	P3	9	2 of 5	"{""population_2022_relative"": 23.7, ""transport_band"": 2.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_moshi-district-council_kibosho-okaoni	ward	Kibosho Okaoni	Moshi District Council	Kilimanjaro	Moshi	False	9772	4601	5171	2746	3.6	Table 3.5, PDF page 69 (printed page 43), row 3				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_moshi-district-council_kibosho-kati	ward	Kibosho Kati	Moshi District Council	Kilimanjaro	Moshi	False	9539	4466	5073	2582	3.7	Table 3.5, PDF page 69 (printed page 43), row 4	-3.17944444	37.32166667	estimated	wikipedia	Kibosho Kati	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	26.7	>25 km (outside catchment)	Usa River	54.9	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kibosho-kirima	ward	Kibosho Kirima	Moshi District Council	Kilimanjaro	Moshi	False	11192	5298	5894	2834	3.9	Table 3.5, PDF page 69 (printed page 43), row 5				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_moshi-district-council_kibosho-mashariki	ward	Kibosho Mashariki	Moshi District Council	Kilimanjaro	Moshi	False	13996	7634	6362	3264	4.3	Table 3.5, PDF page 69 (printed page 43), row 6	-3.2489064	37.322037	estimated	wikipedia	Kibosho Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	22.5	21-25 km	Usa River	52.5	>25 km (outside catchment)	Boma Ng'ombe	yes	19.6	P4	21	2 of 5	"{""population_2022_relative"": 17.1, ""transport_band"": 2.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_moshi-district-council_uru-kusini	ward	Uru Kusini	Moshi District Council	Kilimanjaro	Moshi	False	31557	15467	16090	9511	3.3	Table 3.5, PDF page 69 (printed page 43), row 7	-3.29809104	37.3276561	estimated	wikipedia	Uru Kusini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	21.4	21-25 km	Usa River	52.1	>25 km (outside catchment)	Boma Ng'ombe	yes	31.2	P2	5	2 of 5	"{""population_2022_relative"": 28.7, ""transport_band"": 2.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_moshi-district-council_uru-kaskazini	ward	Uru Kaskazini	Moshi District Council	Kilimanjaro	Moshi	False	10817	5269	5548	2768	3.9	Table 3.5, PDF page 69 (printed page 43), row 8	-3.24652502	37.3554337	estimated	wikipedia	Uru Kaskazini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	26.0	>25 km (outside catchment)	Usa River	56.2	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_uru-shimbwe	ward	Uru Shimbwe	Moshi District Council	Kilimanjaro	Moshi	False	5218	2513	2705	1415	3.7	Table 3.5, PDF page 69 (printed page 43), row 9	-3.2598395	37.377217	estimated	wikipedia	Uru Shimbwe	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	27.8	>25 km (outside catchment)	Usa River	58.2	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_uru-mashariki	ward	Uru Mashariki	Moshi District Council	Kilimanjaro	Moshi	False	14179	6806	7373	3857	3.7	Table 3.5, PDF page 69 (printed page 43), row 10	-3.2912787	37.3657159	estimated	wikipedia	Uru Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	25.7	>25 km (outside catchment)	Usa River	56.4	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_mbokomu	ward	Mbokomu	Moshi District Council	Kilimanjaro	Moshi	False	15899	7656	8243	4520	3.5	Table 3.5, PDF page 69 (printed page 43), row 11	-3.27916667	37.40222222	estimated	wikipedia	Mbokomu	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	29.9	>25 km (outside catchment)	Usa River	60.6	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_old-moshi-magharibi	ward	Old Moshi Magharibi	Moshi District Council	Kilimanjaro	Moshi	False	8431	4107	4324	2309	3.7	Table 3.5, PDF page 69 (printed page 43), row 12	-3.3895	37.3898	estimated	wikipedia	Old Moshi Magharibi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	28.6	>25 km (outside catchment)	Usa River	58.5	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_old-moshi-mashariki	ward	Old Moshi Mashariki	Moshi District Council	Kilimanjaro	Moshi	False	10502	5110	5392	2865	3.7	Table 3.5, PDF page 69 (printed page 43), row 13	-3.30779928	37.4054276	estimated	wikipedia	Old Moshi Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	29.8	>25 km (outside catchment)	Usa River	60.5	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kimochi	ward	Kimochi	Moshi District Council	Kilimanjaro	Moshi	False	16046	7592	8454	4392	3.7	Table 3.5, PDF page 69 (printed page 43), row 14				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_moshi-district-council_arusha-chini	ward	Arusha Chini	Moshi District Council	Kilimanjaro	Moshi	False	13977	7115	6862	3735	3.7	Table 3.5, PDF page 69 (printed page 43), row 15	-3.532506	37.332043	estimated	osm_place	node/4025898210	OpenStreetMap village 'Arusha Chini'; the Wikipedia point is 5.7 km away (see Review Queue).	Boma Ngombe	30.8	>25 km (outside catchment)	Usa River	55.3	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_mabogini	ward	Mabogini	Moshi District Council	Kilimanjaro	Moshi	False	57231	28038	29193	15288	3.7	Table 3.5, PDF page 69 (printed page 43), row 16	-3.43246059	37.36092792	estimated	wikipedia	Mabogini	Wikipedia ward point, corroborated by the OpenStreetMap village 'Mabogini' 2.3 km away.	Boma Ngombe	27.0	>25 km (outside catchment)	Usa River	55.8	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kirua-vunjo-magharibi	ward	Kirua Vunjo Magharibi	Moshi District Council	Kilimanjaro	Moshi	False	11785	5729	6056	3130	3.8	Table 3.5, PDF page 69 (printed page 43), row 17	-3.325259	37.432119	estimated	wikipedia	Kirua Vunjo Magharibi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	32.6	>25 km (outside catchment)	Usa River	63.3	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kilema-kaskazini	ward	Kilema Kaskazini	Moshi District Council	Kilimanjaro	Moshi	False	7785	3771	4014	2035	3.8	Table 3.5, PDF page 69 (printed page 43), row 18	-3.2591847	37.4675116	estimated	wikipedia	Kilema Kaskazini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	37.5	>25 km (outside catchment)	Usa River	68.1	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kilema-kati	ward	Kilema Kati	Moshi District Council	Kilimanjaro	Moshi	False	5019	2456	2563	1349	3.7	Table 3.5, PDF page 69 (printed page 43), row 19	-3.29491696	37.4942337	estimated	wikipedia	Kilema Kati	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	39.8	>25 km (outside catchment)	Usa River	70.5	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kahe-mashariki	ward	Kahe Mashariki	Moshi District Council	Kilimanjaro	Moshi	False	16286	8367	7919	4553	3.6	Table 3.5, PDF page 69 (printed page 43), row 20	-3.4719123	37.516016	estimated	wikipedia	Kahe Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	44.6	>25 km (outside catchment)	Usa River	73.4	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kahe-magharibi	ward	Kahe Magharibi	Moshi District Council	Kilimanjaro	Moshi	False	24466	12436	12030	6568	3.7	Table 3.5, PDF page 69 (printed page 43), row 21				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_moshi-district-council_kirua-vunjo-kusini	ward	Kirua Vunjo Kusini	Moshi District Council	Kilimanjaro	Moshi	False	27495	13135	14360	7130	3.9	Table 3.5, PDF page 69 (printed page 43), row 22	-3.39205723	37.4635979	estimated	wikipedia	Kirua Vunjo Kusini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	36.7	>25 km (outside catchment)	Usa River	66.7	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kirua-vunjo-mashariki	ward	Kirua Vunjo Mashariki	Moshi District Council	Kilimanjaro	Moshi	False	7722	3821	3901	2134	3.6	Table 3.5, PDF page 69 (printed page 43), row 23	-3.34751017	37.4891024	estimated	wikipedia	Kirua Vunjo Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	39.0	>25 km (outside catchment)	Usa River	69.5	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_kilema-kusini	ward	Kilema Kusini	Moshi District Council	Kilimanjaro	Moshi	False	7815	3834	3981	2132	3.7	Table 3.5, PDF page 69 (printed page 43), row 24	-3.393159	37.52444	estimated	wikipedia	Kilema Kusini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	43.4	>25 km (outside catchment)	Usa River	73.5	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_njia-panda	ward	Njia Panda	Moshi District Council	Kilimanjaro	Moshi	False	24778	11800	12978	6840	3.6	Table 3.5, PDF page 69 (printed page 43), row 25				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_moshi-district-council_marangu-magharibi	ward	Marangu Magharibi	Moshi District Council	Kilimanjaro	Moshi	False	16775	8047	8728	4456	3.8	Table 3.5, PDF page 69 (printed page 43), row 26	-3.27946219	37.49952512	estimated	wikipedia	Marangu Magharibi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	40.6	>25 km (outside catchment)	Usa River	71.3	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_marangu-mashariki	ward	Marangu Mashariki	Moshi District Council	Kilimanjaro	Moshi	False	22981	11415	11566	6235	3.7	Table 3.5, PDF page 69 (printed page 43), row 27	-3.28334742	37.521572	estimated	wikipedia	Marangu Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	42.9	>25 km (outside catchment)	Usa River	73.6	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_mamba-kusini	ward	Mamba Kusini	Moshi District Council	Kilimanjaro	Moshi	False	9271	4586	4685	2705	3.4	Table 3.5, PDF page 69 (printed page 43), row 28	-3.30451526	37.54531654	estimated	wikipedia	Mamba Kusini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	45.3	>25 km (outside catchment)	Usa River	76.0	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_moshi-district-council_mamba-kaskazini	ward	Mamba Kaskazini	Moshi District Council	Kilimanjaro	Moshi	False	8231	3976	4255	2325	3.5	Table 3.5, PDF page 69 (printed page 43), row 29	-3.26452684	37.5419785	estimated	wikipedia	Mamba Kaskazini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	45.5	>25 km (outside catchment)	Usa River	76.2	>25 km (outside catchment)	Boma Ng'ombe	no					
